epoch,accuracy,val_accuracy,loss,val_loss,version
1,0.056043390184640884,0.16278846561908722,3.4630298614501953,3.1209466457366943,3_resnet
2,0.11725206673145294,0.1910576969385147,2.9845571517944336,2.5135931968688965,3_resnet
3,0.19369834661483765,0.39105769991874695,2.5714118480682373,1.8527851104736328,3_resnet
4,0.30320248007774353,0.531826913356781,2.161137342453003,1.2748794555664062,3_resnet
5,0.3716425597667694,0.6278846263885498,1.8205498456954956,1.062612771987915,3_resnet
6,0.42226240038871765,0.7560576796531677,1.625328540802002,0.8866053223609924,3_resnet
7,0.4656508266925812,0.6989423036575317,1.4762412309646606,0.8438552618026733,3_resnet
8,0.4795971214771271,0.7708653807640076,1.410742998123169,0.6855317950248718,3_resnet
9,0.5353822112083435,0.7938461303710938,1.2712088823318481,0.6426616907119751,3_resnet
10,0.5449380278587341,0.8015384674072266,1.256482720375061,0.5926172733306885,3_resnet
11,0.5782541036605835,0.7712500095367432,1.1732487678527832,0.567836344242096,3_resnet
12,0.5542355179786682,0.8123077154159546,1.2306952476501465,0.5484713315963745,3_resnet
13,0.5834194421768188,0.8526923060417175,1.1399435997009277,0.5414412021636963,3_resnet
14,0.5898760557174683,0.8187500238418579,1.1119284629821777,0.5207749605178833,3_resnet
15,0.60175621509552,0.8626922965049744,1.0874226093292236,0.4788278341293335,3_resnet
16,0.6358470916748047,0.9039422869682312,1.0273237228393555,0.45481187105178833,3_resnet
17,0.6208677887916565,0.8274038434028625,1.0576330423355103,0.4681691825389862,3_resnet
18,0.6379132270812988,0.8748077154159546,1.008273959159851,0.44179806113243103,3_resnet
19,0.6371384263038635,0.84375,1.0136268138885498,0.4317348599433899,3_resnet
20,0.6748450398445129,0.8955768942832947,0.9282596707344055,0.3789261281490326,3_resnet
21,0.6720041036605835,0.8676922917366028,0.9052463173866272,0.37596413493156433,3_resnet
22,0.6717458963394165,0.885769248008728,0.9108906388282776,0.376409113407135,3_resnet
23,0.6732954382896423,0.912211537361145,0.9066594839096069,0.36363330483436584,3_resnet
24,0.6851755976676941,0.9106730818748474,0.8920215964317322,0.3617665469646454,3_resnet
25,0.6905992031097412,0.9055769443511963,0.8470064997673035,0.3417046070098877,3_resnet
26,0.7055785059928894,0.907403826713562,0.8077026009559631,0.3449408710002899,3_resnet
27,0.70712810754776,0.9277884364128113,0.8220939040184021,0.33149150013923645,3_resnet
28,0.7022210955619812,0.9071153998374939,0.795717179775238,0.3276187777519226,3_resnet
29,0.7138429880142212,0.9202884435653687,0.7856664657592773,0.32715877890586853,3_resnet
30,0.7202996015548706,0.9065384864807129,0.7798654437065125,0.3331606388092041,3_resnet
31,0.714101254940033,0.9233654141426086,0.7991406917572021,0.32219409942626953,3_resnet
32,0.7182334661483765,0.9232692122459412,0.7737653255462646,0.31817761063575745,3_resnet
33,0.7169421315193176,0.9142307639122009,0.7437087893486023,0.31423842906951904,3_resnet
34,0.7295970916748047,0.9176923036575317,0.7545888423919678,0.3133580684661865,3_resnet
