epoch,accuracy,val_accuracy,loss,val_loss,version
1,0.07463842630386353,0.13115385174751282,3.1128146648406982,2.602604627609253,final
2,0.2600723206996918,0.6115384697914124,2.2304811477661133,1.2035913467407227,final
3,0.4984503984451294,0.760192334651947,1.4432944059371948,0.7081347703933716,final
4,0.6485020518302917,0.8285576701164246,0.9880061745643616,0.48826566338539124,final
5,0.7673037052154541,0.9158653616905212,0.6617467403411865,0.2786538004875183,final
6,0.7993285059928894,0.9051923155784607,0.5847047567367554,0.30004003643989563,final
7,0.8460744023323059,0.9311538338661194,0.4552324414253235,0.21726642549037933,final
8,0.8481404781341553,0.9371153712272644,0.4435669481754303,0.18956530094146729,final
9,0.8726755976676941,0.9528846144676208,0.3744523525238037,0.13791227340698242,final
10,0.8886880278587341,0.9443269371986389,0.32177862524986267,0.16731226444244385,final
11,0.9054751992225647,0.955673098564148,0.290640264749527,0.11583758890628815,final
12,0.9196797609329224,0.9481731057167053,0.2538033723831177,0.13552099466323853,final
13,0.9075413346290588,0.9611538648605347,0.276636004447937,0.11642911285161972,final
14,0.9083161354064941,0.9453846216201782,0.28217530250549316,0.16823282837867737,final
15,0.9127066135406494,0.9475961327552795,0.26768261194229126,0.14214681088924408,final
16,0.9248450398445129,0.9549038410186768,0.22725355625152588,0.12447073310613632,final
17,0.9460227489471436,0.9694230556488037,0.17239001393318176,0.08854557573795319,final
18,0.9498966932296753,0.9609615206718445,0.159891277551651,0.10608387738466263,final
19,0.9550619721412659,0.9592307806015015,0.1401205211877823,0.10807549953460693,final
20,0.961776852607727,0.9703845977783203,0.12007180601358414,0.09159081429243088,final
21,0.96074378490448,0.9654807448387146,0.1425696462392807,0.09496627748012543,final
22,0.953770637512207,0.9766346216201782,0.15527169406414032,0.06356910616159439,final
23,0.9672003984451294,0.955673098564148,0.11041602492332458,0.13171912729740143,final
24,0.9615185856819153,0.9707692265510559,0.12787385284900665,0.08288396149873734,final
25,0.9635847210884094,0.9688461422920227,0.12621542811393738,0.08073639869689941,final
26,0.9785640239715576,0.9792307615280151,0.07270415127277374,0.061430271714925766,final
27,0.9739152789115906,0.9739422798156738,0.08979620039463043,0.08429550379514694,final
28,0.9718492031097412,0.9748076796531677,0.09076394140720367,0.07120440900325775,final
29,0.97236567735672,0.9756730794906616,0.08513012528419495,0.0702139288187027,final
30,0.9821797609329224,0.9799038171768188,0.06362854689359665,0.06553710252046585,final
31,0.9824380278587341,0.9739422798156738,0.06404606997966766,0.07776396721601486,final
32,0.9798553586006165,0.9715384840965271,0.07339247316122055,0.08228055387735367,final
33,0.9754648804664612,0.9831730723381042,0.07332739979028702,0.0504160150885582,final
34,0.9811466932296753,0.9732692241668701,0.06181943044066429,0.0756140798330307,final
35,0.9759814143180847,0.9698076844215393,0.07576596736907959,0.08915133774280548,final
36,0.9814049601554871,0.9815384745597839,0.05760103836655617,0.05456962436437607,final
37,0.9847623705863953,0.9825000166893005,0.04925694689154625,0.0520377941429615,final
38,0.9826962947845459,0.983846127986908,0.0590183399617672,0.05122225359082222,final
39,0.9845041036605835,0.9769230484962463,0.05328504368662834,0.06795293837785721,final
40,0.9839876294136047,0.983269214630127,0.06219101697206497,0.052638713270425797,final
41,0.9873450398445129,0.9839423298835754,0.043593406677246094,0.04775737226009369,final
42,0.9834710955619812,0.9820192456245422,0.05872604250907898,0.050602804869413376,final
43,0.98837810754776,0.9771153926849365,0.04190907999873161,0.06359915435314178,final
44,0.985020637512207,0.9821153879165649,0.04767096787691116,0.05002840980887413,final
45,0.9845041036605835,0.9840384721755981,0.04657464474439621,0.04826480150222778,final
46,0.983729362487793,0.9861538410186768,0.04818907007575035,0.046742524951696396,final
47,0.9888946413993835,0.9861538410186768,0.0360628105700016,0.045216359198093414,final
48,0.9888946413993835,0.9823076725006104,0.03986187279224396,0.05179585516452789,final
49,0.9894111752510071,0.980096161365509,0.03893624618649483,0.05698848515748978,final
50,0.9842458963394165,0.984903872013092,0.04762279987335205,0.04783009737730026,final
